BSN;Schulname;Strasse;PLZ;Schulart;lat;lng;AlleLehrkraefte_2017;AlleQ_2017;AlleLehrkraefte_2018;AlleQS_2018;Q1_5_2018;Q6_x_2018;S1_5_2018;S6_x_2018
07Y07;Eckener-Gymnasium;Kaiserstr. 17-21;12105;Gymnasium;52.4451;13.38052;62;2 %;61;2 %;2 %;;;
07Y08;Ulrich-von-Hutten-Gymnasium;Rehagener Str. 35-37;12307;Gymnasium;52.38563;13.40388;64;0 %;;;;;;
07Y09;Georg-Büchner-Gymnasium;Lichtenrader Damm 224;12305;Gymnasium;52.39186;13.406604;50;0 %;50;2 %;;;2 %;
08B01;Annedore-Leber-Oberschule;Paster-Behrens-Strasse 88;12359;;52.443799;13.444280;53;2 %;57;6 %;2 %;;4 %;
08B02;Lise-Meitner-Schule (OSZ Chemie, Physik und Biologie);Rudower Str. 184;12351;;52.430295;13.475099;122;5 %;126;4 %;3 %;;1 %;
08B04;OSZ Informations- und Medizintechnik;Haarlemer Str. 23-27;12359;;52.457838;13.449527;144;8 %;135;9 %;;7 %;2 %;
08B05;Carl-Legien-Schule;Leinestraße 37;12049;;52.472605;13.424240;32;0 %;32;26 %;13 %;;13 %;
08G01;Rixdorfer Schule;Donaustr. 120;12043;Grundschule;52.484904;13.431792;35;3 %;40;15 %;10 %;;5 %;
08G02;Theodor-Storm-Schule (Grundschule);Hobrechtstr. 76;12043;Grundschule;52.486488;13.426763;20;10 %;20;5 %;5 %;;;
08G03;Hans-Fallada-Schule (Grundschule);Harzer Str. 73;12059;Grundschule;52.483564;13.451851;40;3 %;39;11 %;8 %;;3 %;
08G05;Elbe-Schule (Grundschule);Elbestr. 11;12045;Grundschule;52.48442;13.44062;25;4 %;25;12 %;12 %;;;
08G06;Karl-Weise-Schule (Grundschule);Weisestr. 20;12049;Grundschule;52.476503;13.423961;24;8 %;27;19 %;19 %;;;
08G07;Hermann-Boddin-Schule (Grundschule);Boddinstr. 55;12053;Grundschule;52.480416;13.431252;29;7 %;26;16 %;8 %;;8 %;
08G08;Karlsgarten-Schule (Grundschule);Karlsgartenstr. 7;12049;Grundschule;52.482099;13.422505;39;5 %;39;8 %;8 %;;;
08G09;Regenbogen-Schule (Grundschule);Morusstr. 32;12053;Grundschule;52.47578;13.43333;43;2 %;44;5 %;5 %;;;
08G11;Schliemann-Schule (Grundschule);Groß-Ziethener Chaussee 73;12355;Grundschule;52.41198;13.48526;31;10 %;34;6 %;3 %;;3 %;
08G12;Peter-Petersen-Schule (Grundschule);Jonasstr. 15;12053;Grundschule;52.47189;13.43548;20;0 %;;;;;;
08G13;Bruno-Taut-Schule (Grundschule);Bruno-Taut-Ring 9C;12359;Grundschule;52.44095;13.44886;30;7 %;31;10 %;10 %;;;
08G14;Konrad-Agahd-Schule (Grundschule);Thomasstr. 39;12053;Grundschule;52.4725;13.43556;28;18 %;25;8 %;8 %;;;
08G15;Hermann-Sander-Schule (Grundschule);Mariendorfer Weg 69;12051;Grundschule;52.46416;13.43005;42;2 %;;;;;;
08G16;Hugo-Heimann-Schule;Hugo-Heimann-Str. 20;12353;Grundschule;52.42538;13.45705;21;14 %;23;22 %;22 %;;;
08G17;Richard-Schule (Grundschule);Richardplatz 14;12055;Grundschule;52.47359;13.44439;31;6 %;35;14 %;11 %;;3 %;
